98,-3504,-1560,12660,-28,-482,15
99,-3492,-1536,12716,-46,-414,86
100,-3428,-1556,12748,-1,-297,40
101,-3456,-1540,12684,11,-411,-25
102,-3408,-1484,12716,-17,-341,-45
103,-3200,-1492,12932,-23,-272,60
104,-3308,-1500,12732,-34,-129,34
105,-3288,-1496,12792,26,-177,25
106,-3232,-1532,12876,-1,-148,19
107,-3380,-1556,12732,-6,-226,57
108,-3288,-1480,12840,-19,-207,38
109,-3376,-1492,12700,3,-194,37
110,-3488,-1536,12712,6,-289,27
111,-3344,-1536,12796,19,-191,-2
112,-3412,-1472,12804,4,-168,19
113,-3416,-1580,12776,4,-238,58
114,-3364,-1568,12768,31,-235,62
115,-3192,-1452,12908,-15,122,28
116,-3216,-1516,12904,26,51,76
117,-3228,-1528,12820,36,-323,58
118,-3212,-1452,12876,-14,-261,52
119,-3292,-1448,12816,-18,-275,-35
120,-3244,-1440,12908,-64,-90,60
121,-3380,-1536,12816,-37,-204,42
122,-3328,-1484,12820,-3,-169,59
123,-3352,-1520,12680,-18,-190,15
124,-3340,-1508,12816,-2,-249,27
125,-3380,-1476,12660,-42,-117,93
126,-3420,-1516,12684,1,-257,54
127,-3332,-1456,12892,-2,-152,21
128,-3328,-1496,12840,-13,-110,3
129,-3312,-1496,12828,-1,-223,-55
130,-3208,-1476,12860,47,-138,-41
131,-3424,-1504,12716,19,-315,38
132,-3620,-1500,12644,4,-445,-58
133,-3588,-1508,12608,-43,-605,-71
134,-3140,-1600,12748,-43,-364,-25
135,-2876,-1356,13112,-47,31,-83
136,-3056,-1528,13040,-33,35,1
137,-3272,-1440,12680,23,-320,21
138,-3344,-1544,12728,141,27,-64
139,-3552,-1652,12880,96,107,92
140,-3448,-1528,13080,-63,548,715
141,-3728,-980,13488,-111,-3527,1012
142,-2100,-1532,13748,-7,36,198
143,-3668,-1424,12604,159,-866,408
144,-3704,-1440,12588,-78,-1339,1043
145,-2936,-1608,13404,-435,455,1251
146,-3484,-1472,12632,-537,85,1033
147,-3340,-1652,12904,-643,-175,1054
148,-1340,-508,14424,-732,5578,-862
149,-3892,-1636,13028,-633,6364,-1661
150,-5620,-1468,12608,-417,5717,-646
151,-7616,-932,11872,-137,4763,-1011
152,-5612,-1916,12708,-415,6022,-837
153,-6384,-1664,12180,295,3748,-409
154,-6716,-1604,13340,642,2884,-265
155,-7096,-2000,11568,801,1120,331
156,-6824,-1848,12084,-343,2814,-101
157,-6872,-1652,12668,46,2342,-209
158,-7524,-1996,11828,-186,2848,-382
159,-8492,-1324,12328,-317,4571,-812
160,-8176,-2108,11336,-89,3405,-498
161,-8504,-1748,12004,-294,2812,-179
162,-8312,-1608,11976,55,3064,-398
163,-8480,-1736,11692,-257,2783,-609
164,-9032,-1748,12040,-229,3913,-935
165,-9536,-2124,11104,84,4021,-766
166,-10064,-1892,11628,-457,3535,-534
167,-10336,-1972,11516,-106,3702,-325
168,-10828,-2208,10760,-180,2838,105
169,-10536,-1944,11368,-622,5600,-1173
170,-11268,-1784,10312,-301,1446,388
171,-11164,-2036,10980,-135,2039,237
172,-11192,-1708,11044,-6,3785,-283
173,-11736,-2396,9996,195,2439,540
174,-11804,-1572,11048,747,3627,545
175,-12072,-1900,9704,521,4511,324
176,-12272,-1744,9892,735,4880,428
177,-12872,-1704,9692,-344,6828,-1607
178,-12952,-2084,10172,393,3613,-396
179,-13900,-1784,9120,118,5410,-1258
180,-14248,-2432,8336,284,4075,-953
181,-10092,-1592,12652,-1690,4091,-467
182,-15600,-1556,7440,-264,3128,-1272
183,-14560,-2116,8480,263,2274,-490
184,-14536,-1892,8124,319,1955,-70
185,-14492,-2348,7428,666,592,832
186,-15268,-2388,8276,201,3385,-154
187,-15912,-2604,7444,587,2468,729
188,-14568,-1508,7592,284,3391,-118
189,-15684,-1848,6652,-806,1451,-1161
190,-17316,-2940,5924,-2256,4903,-672
191,-14996,-2624,6488,-954,2649,-311
192,-16684,-2484,6656,793,4843,838
193,-14156,-2880,7272,-1666,6709,-1359
194,-17288,-2500,5740,457,2589,-292
195,-16940,-1836,5664,-1505,1641,-1385
196,-18424,-3228,5252,1491,239,-52
197,-19400,-1552,9740,-7933,3755,-303
198,-15908,-1896,5656,-1749,3677,957
199,-17300,-2168,4696,-1015,3278,1166
200,-16756,-2216,4488,-487,3180,1157
201,-16552,-2200,4040,197,1632,575
202,-18032,-1848,4252,401,2477,-367
203,-17856,-2024,4056,331,4229,721
204,-17464,-2148,3456,482,3270,-166
205,-18672,-2268,3980,59,6115,1185
206,-18724,-2380,2868,349,4113,-410
207,-18660,-2064,1984,-134,4153,1059
208,-18268,-1968,2304,34,5050,-646
209,-18832,-2188,1468,-186,5690,265
210,-19148,-2664,1208,1024,3942,-2210
211,-19044,-2460,420,-367,4213,328
212,-19144,-1960,344,-1293,2813,1470
213,-18984,-1836,1124,1895,4071,1752
214,-19256,-1464,416,-423,2634,1032
215,-19496,-1704,-344,-393,2721,794
216,-17780,-2348,708,-1166,5660,2570
217,-20084,-1080,-1184,-2784,3540,3086
218,-19960,-1096,-1772,-1383,4589,619
219,-20092,-1512,-2384,-1253,4377,-17
220,-19468,-1364,-2932,851,2660,-2245
221,-20312,-1860,-1676,134,5408,-2395
222,-20804,-1360,-2968,-2763,4455,-1818
223,-19332,-1440,-3268,-2548,3085,-2231
224,-18292,-1840,-3140,-2474,3975,-949
225,-19820,-1672,-3888,-1654,1638,-257
226,-19084,-2420,-3852,-1589,1498,-339
227,-20248,-2484,-4984,-912,1948,-55
228,-19456,-1900,-4588,-1577,8,498
229,-21240,-2788,-6236,-525,1414,331
230,-20664,-1316,-5380,-521,117,204
231,-19208,-1984,-4652,141,-958,1434
232,-19092,-1848,-4576,-406,1257,674
233,-18936,-1824,-5184,-681,-64,-80
234,-19892,-1744,-4672,-433,1318,-462
235,-18844,-1836,-5212,112,1484,-621
236,-19136,-2100,-5208,78,1061,-1437
237,-20168,-2224,-5684,306,133,-511
238,-19368,-2308,-5672,556,974,-117
239,-19968,-2324,-5844,427,720,-202
240,-20224,-2348,-5520,-52,405,216
241,-19584,-2036,-5700,-359,89,276
242,-19380,-1992,-6052,4,-531,35
